"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Beverly","2022-11-10 05:00:25",32.247053,-111.034538
"2",2,"Beverly","2022-11-10 07:00:18",32.247066,-111.031815
"3",3,"Beverly","2022-11-10 09:00:23",32.247092,-111.031868
"4",4,"Beverly","2022-11-10 11:01:36",32.247174,-111.031818
"5",5,"Beverly","2022-11-10 13:00:26",32.247025,-111.031875
"6",6,"Beverly","2022-11-10 17:00:14",32.246929,-111.031392
"7",7,"Beverly","2022-11-10 19:00:25",32.247169,-111.031585
"8",8,"Beverly","2022-11-10 21:00:16",32.247055,-111.031858
"9",9,"Beverly","2022-11-11 01:00:15",32.246986,-111.031677
"10",10,"Beverly","2022-11-11 03:00:12",32.249445,-111.031084
"11",11,"Beverly","2022-11-11 05:00:24",32.247181,-111.031805
"12",12,"Beverly","2022-11-11 07:00:24",32.24629,-111.03735
"13",13,"Beverly","2022-11-11 09:00:13",32.245509,-111.050405
"14",14,"Beverly","2022-11-11 13:00:18",32.2471,-111.031574
"15",15,"Beverly","2022-11-11 15:00:17",32.247131,-111.031519
"16",16,"Beverly","2022-11-11 17:00:14",32.246993,-111.031633
"17",17,"Beverly","2022-11-11 19:00:14",32.247021,-111.031616
"18",18,"Beverly","2022-11-11 21:00:21",32.243469,-111.02994
"19",19,"Beverly","2022-11-11 23:00:10",32.242249,-111.030584
"20",20,"Beverly","2022-11-12 01:00:15",32.243256,-111.029962
"21",21,"Beverly","2022-11-12 03:00:11",32.244845,-111.036351
"22",22,"Beverly","2022-11-12 05:00:18",32.249663,-111.042795
"23",23,"Beverly","2022-11-12 07:00:13",32.253747,-111.037289
"24",24,"Beverly","2022-11-12 09:00:25",32.244285,-111.032192
"25",25,"Beverly","2022-11-12 22:00:14",32.244327,-111.034737
"26",26,"Beverly","2022-11-13 11:00:11",32.242163,-111.044946
"27",27,"Beverly","2022-11-14 00:00:22",32.24117,-111.031745
"28",28,"Beverly","2022-11-14 13:00:12",32.24636,-111.031036
"29",29,"Beverly","2022-11-15 02:00:14",32.247195,-111.031516
"30",30,"Beverly","2022-11-16 04:00:17",32.238807,-111.031492
"31",31,"Beverly","2022-11-16 17:00:14",32.24996,-111.038353
"32",32,"Beverly","2022-11-17 06:00:16",32.247243,-111.031769
"33",33,"Beverly","2022-11-17 15:00:52",32.247131,-111.031807
"34",34,"Beverly","2022-11-17 19:00:20",32.246997,-111.031887
"35",35,"Beverly","2022-11-17 21:00:14",32.247024,-111.031693
"36",36,"Beverly","2022-11-17 23:00:08",32.24694,-111.031611
"37",37,"Beverly","2022-11-18 03:00:11",32.242161,-111.030628
"38",38,"Beverly","2022-11-18 05:00:19",32.241463,-111.033432
"39",39,"Beverly","2022-11-18 07:00:20",32.241012,-111.034456
"40",40,"Beverly","2022-11-18 09:00:10",32.2402,-111.042415
"41",41,"Beverly","2022-11-18 11:00:11",32.247279,-111.050583
"42",42,"Beverly","2022-11-18 13:00:10",32.247172,-111.043548
"43",43,"Beverly","2022-11-18 15:00:16",32.241335,-111.039153
"44",44,"Beverly","2022-11-18 17:00:14",32.242252,-111.036873
"45",45,"Beverly","2022-11-18 19:00:18",32.242307,-111.036872
"46",46,"Beverly","2022-11-18 21:00:07",32.240877,-111.036406
"47",47,"Beverly","2022-11-18 23:00:18",32.242428,-111.036993
"48",48,"Beverly","2022-11-19 01:00:15",32.242367,-111.036844
"49",49,"Beverly","2022-11-19 03:00:26",32.242298,-111.036896
"50",50,"Beverly","2022-11-19 05:00:27",32.243705,-111.037843
"51",51,"Beverly","2022-11-19 07:00:19",32.242382,-111.036815
"52",52,"Beverly","2022-11-19 09:00:11",32.24078,-111.036929
"53",53,"Beverly","2022-11-19 13:00:15",32.242267,-111.036641
"54",54,"Beverly","2022-11-19 15:00:18",32.242417,-111.036642
"55",55,"Beverly","2022-11-19 17:00:11",32.239227,-111.039464
"56",56,"Beverly","2022-11-19 19:00:11",32.242457,-111.036653
"57",57,"Beverly","2022-11-19 21:00:11",32.242382,-111.036752
"58",58,"Beverly","2022-11-19 23:00:09",32.242426,-111.036913
"59",59,"Beverly","2022-11-20 12:00:18",32.241691,-111.038969
"60",60,"Beverly","2022-11-21 01:00:15",32.241546,-111.034555
"61",61,"Beverly","2022-11-21 14:00:14",32.245768,-111.033271
"62",62,"Beverly","2022-11-22 03:00:24",32.242399,-111.030415
"63",63,"Beverly","2022-11-22 16:00:11",32.240741,-111.026399
"64",64,"Beverly","2022-11-23 05:00:24",32.241341,-111.026545
"65",65,"Beverly","2022-11-23 18:00:09",32.240504,-111.026374
"66",66,"Beverly","2022-11-24 07:00:12",32.241274,-111.026487
"67",67,"Beverly","2022-11-24 19:00:50",32.242218,-111.023546
"68",68,"Beverly","2022-11-25 09:00:12",32.250078,-111.042649
"69",69,"Beverly","2022-11-25 11:00:12",32.244583,-111.052089
"70",70,"Beverly","2022-11-25 13:00:11",32.244124,-111.040077
"71",71,"Beverly","2022-11-25 15:00:17",32.249563,-111.031307
"72",72,"Beverly","2022-11-25 17:00:14",32.247027,-111.031841
"73",73,"Beverly","2022-11-25 21:00:21",32.246939,-111.031841
"74",74,"Beverly","2022-11-25 23:00:08",32.248109,-111.033652
"75",75,"Beverly","2022-11-26 01:00:18",32.250943,-111.037955
"76",76,"Beverly","2022-11-26 03:00:13",32.253049,-111.036205
"77",77,"Beverly","2022-11-26 05:00:15",32.25093,-111.037964
"78",78,"Beverly","2022-11-26 07:00:09",32.245702,-111.042877
"79",79,"Beverly","2022-11-26 09:00:11",32.244627,-111.044475
"80",80,"Beverly","2022-11-26 11:00:11",32.245534,-111.041279
"81",81,"Beverly","2022-11-26 13:00:11",32.248862,-111.050132
"82",82,"Beverly","2022-11-26 15:00:08",32.247941,-111.033207
"83",83,"Beverly","2022-11-26 17:00:11",32.238642,-111.033209
"84",84,"Beverly","2022-11-26 19:00:11",32.243412,-111.043015
"85",85,"Beverly","2022-11-26 21:00:19",32.240747,-111.04541
"86",86,"Beverly","2022-11-26 23:00:17",32.240806,-111.045469
"87",87,"Beverly","2022-11-27 01:00:27",32.239853,-111.04009
"88",88,"Beverly","2022-11-27 03:00:25",32.239889,-111.040099
"89",89,"Beverly","2022-11-27 05:00:19",32.246007,-111.042656
"90",90,"Beverly","2022-11-27 07:00:18",32.25267,-111.036094
"91",91,"Beverly","2022-11-27 09:00:13",32.251201,-111.03489
"92",92,"Beverly","2022-11-27 11:00:17",32.251219,-111.034827
"93",93,"Beverly","2022-11-28 02:00:12",32.250956,-111.034595
"94",94,"Beverly","2022-11-28 15:00:09",32.250242,-111.034798
"95",95,"Beverly","2022-11-29 04:00:15",32.23845,-111.027322
"96",96,"Beverly","2022-11-29 17:00:11",32.240601,-111.026435
"97",97,"Beverly","2022-11-30 06:00:14",32.241665,-111.022518
"98",98,"Beverly","2022-11-30 19:00:26",32.240528,-111.026342
"99",99,"Beverly","2022-12-01 08:00:09",32.244596,-111.04206
"100",100,"Beverly","2022-12-01 21:00:12",32.244928,-111.041558
"101",101,"Beverly","2022-12-01 23:02:02",32.245372,-111.041753
"102",102,"Beverly","2022-12-02 10:00:13",32.249016,-111.049284
"103",103,"Beverly","2022-12-02 23:00:15",32.250773,-111.038032
"104",104,"Beverly","2022-12-03 01:00:18",32.251407,-111.034829
"105",105,"Beverly","2022-12-03 03:00:12",32.251328,-111.035009
"106",106,"Beverly","2022-12-03 05:00:15",32.251195,-111.034952
"107",107,"Beverly","2022-12-03 07:00:20",32.251222,-111.034865
"108",108,"Beverly","2022-12-03 09:00:13",32.252616,-111.035219
"109",109,"Beverly","2022-12-03 11:00:14",32.253157,-111.03819
"110",110,"Beverly","2022-12-03 13:00:10",32.253831,-111.032825
"111",111,"Beverly","2022-12-03 15:00:24",32.251626,-111.043458
"112",112,"Beverly","2022-12-03 17:00:15",32.251163,-111.034741
"113",113,"Beverly","2022-12-03 19:00:12",32.244283,-111.030044
"114",114,"Beverly","2022-12-03 21:00:12",32.24411,-111.028953
"115",115,"Beverly","2022-12-03 23:00:16",32.244294,-111.030011
"116",116,"Beverly","2022-12-04 01:00:22",32.243597,-111.031286
"117",117,"Beverly","2022-12-04 03:00:27",32.243588,-111.030904
"118",118,"Beverly","2022-12-04 05:00:17",32.244429,-111.030744
"119",119,"Beverly","2022-12-04 09:00:16",32.241285,-111.030038
"120",120,"Beverly","2022-12-04 11:00:21",32.24428,-111.030917
"121",121,"Beverly","2022-12-04 13:00:16",32.242458,-111.029563
"122",122,"Beverly","2022-12-04 15:00:15",32.236719,-111.036372
"123",123,"Beverly","2022-12-04 17:00:14",32.243297,-111.037196
"124",124,"Beverly","2022-12-04 19:00:10",32.242911,-111.029527
"125",125,"Beverly","2022-12-04 21:00:12",32.239733,-111.029237
"126",126,"Beverly","2022-12-04 23:00:17",32.239653,-111.029661
"127",127,"Beverly","2022-12-05 01:00:15",32.23965,-111.029724
"128",128,"Beverly","2022-12-05 03:00:27",32.240916,-111.026532
"129",129,"Beverly","2022-12-05 16:00:14",32.236122,-111.025448
"130",130,"Beverly","2022-12-06 05:00:15",32.241721,-111.027549
"131",131,"Beverly","2022-12-06 18:00:17",32.23975,-111.040156
"132",132,"Beverly","2022-12-07 07:00:18",32.249484,-111.042768
"133",133,"Beverly","2022-12-07 20:00:13",32.244039,-111.039692
"134",134,"Beverly","2022-12-08 22:00:09",32.241149,-111.034337
"135",135,"Beverly","2022-12-09 03:02:12",32.240962,-111.028578
"136",136,"Beverly","2022-12-10 00:00:13",32.242544,-111.024302
"137",137,"Beverly","2022-12-10 17:00:12",32.242742,-111.023969
"138",138,"Beverly","2022-12-10 19:00:15",32.242725,-111.024107
"139",139,"Beverly","2022-12-10 21:00:11",32.247888,-111.032855
"140",140,"Beverly","2022-12-10 23:00:18",32.242684,-111.024115
"141",141,"Beverly","2022-12-11 01:00:12",32.242222,-111.030498
"142",142,"Beverly","2022-12-11 05:00:10",32.242145,-111.030193
"143",143,"Beverly","2022-12-11 07:00:13",32.2422,-111.030505
"144",144,"Beverly","2022-12-11 09:00:12",32.242415,-111.03057
"145",145,"Beverly","2022-12-11 11:00:16",32.242044,-111.030481
"146",146,"Beverly","2022-12-11 15:00:13",32.242357,-111.030836
"147",147,"Beverly","2022-12-11 17:00:15",32.242333,-111.030742
"148",148,"Beverly","2022-12-11 19:00:15",32.242549,-111.030582
"149",149,"Beverly","2022-12-11 21:00:13",32.241168,-111.031476
"150",150,"Beverly","2022-12-11 23:00:12",32.242305,-111.030686
"151",151,"Beverly","2022-12-12 01:00:24",32.24231,-111.030675
"152",152,"Beverly","2022-12-12 03:00:21",32.242348,-111.030926
"153",153,"Beverly","2022-12-12 05:00:14",32.242285,-111.030731
"154",154,"Beverly","2022-12-12 07:00:13",32.242111,-111.031478
"155",155,"Beverly","2022-12-12 09:00:11",32.248353,-111.044236
"156",156,"Beverly","2022-12-12 11:00:16",32.241513,-111.043159
"157",157,"Beverly","2022-12-12 13:00:16",32.240732,-111.034417
"158",158,"Beverly","2022-12-12 15:00:12",32.237654,-111.036235
"159",159,"Beverly","2022-12-12 17:00:10",32.240736,-111.034344
"160",160,"Beverly","2022-12-13 06:00:26",32.245765,-111.042936
"161",161,"Beverly","2022-12-13 19:00:14",32.245679,-111.04293
"162",162,"Beverly","2022-12-14 08:00:11",32.247034,-111.050501
"163",163,"Beverly","2022-12-14 21:00:17",32.251192,-111.034803
"164",164,"Beverly","2022-12-15 10:00:11",32.249587,-111.045535
"165",165,"Beverly","2022-12-16 07:01:07",32.250254,-111.039478
"166",166,"Beverly","2022-12-16 12:00:18",32.251278,-111.034687
"167",167,"Beverly","2022-12-17 01:00:21",32.251307,-111.034684
"168",168,"Beverly","2022-12-17 14:00:12",32.250563,-111.034702
"169",169,"Beverly","2022-12-18 05:00:12",32.242675,-111.037392
"170",170,"Beverly","2022-12-18 07:00:10",32.242964,-111.03908
"171",171,"Beverly","2022-12-18 09:00:09",32.242992,-111.039104
"172",172,"Beverly","2022-12-18 13:00:09",32.246245,-111.037562
"173",173,"Beverly","2022-12-18 15:00:13",32.253069,-111.038962
"174",174,"Beverly","2022-12-18 17:00:12",32.249698,-111.048022
"175",175,"Beverly","2022-12-18 19:00:17",32.245788,-111.043445
"176",176,"Beverly","2022-12-18 21:00:26",32.251201,-111.034785
"177",177,"Beverly","2022-12-18 23:00:15",32.2511,-111.035054
"178",178,"Beverly","2022-12-19 01:00:11",32.250479,-111.038317
"179",179,"Beverly","2022-12-19 05:00:17",32.245683,-111.042936
"180",180,"Beverly","2022-12-19 07:00:20",32.245545,-111.04288
"181",181,"Beverly","2022-12-19 09:00:13",32.244762,-111.049842
"182",182,"Beverly","2022-12-19 11:00:14",32.245829,-111.043038
"183",183,"Beverly","2022-12-19 13:00:10",32.240903,-111.040307
"184",184,"Beverly","2022-12-19 15:00:21",32.245611,-111.042891
"185",185,"Beverly","2022-12-19 17:00:09",32.245678,-111.043004
"186",186,"Beverly","2022-12-19 19:00:06",32.244992,-111.040888
"187",187,"Beverly","2022-12-19 21:00:12",32.239933,-111.042871
"188",188,"Beverly","2022-12-19 23:00:09",32.237242,-111.035654
"189",189,"Beverly","2022-12-20 01:00:14",32.241563,-111.044179
"190",190,"Beverly","2022-12-20 05:00:12",32.245618,-111.040745
"191",191,"Beverly","2022-12-20 07:00:11",32.242842,-111.038081
"192",192,"Beverly","2022-12-20 20:00:10",32.245716,-111.042835
"193",193,"Beverly","2022-12-21 22:00:10",32.247228,-111.042181
"194",194,"Beverly","2022-12-22 11:00:22",32.245682,-111.042949
"195",195,"Beverly","2022-12-23 11:00:54",32.249739,-111.044424
"196",196,"Beverly","2022-12-23 13:00:10",32.249446,-111.0314
"197",197,"Beverly","2022-12-24 02:00:10",32.242257,-111.024272
"198",198,"Beverly","2022-12-24 15:00:11",32.25339,-111.040498
"199",199,"Beverly","2022-12-25 04:00:25",32.245208,-111.037293
"200",200,"Beverly","2022-12-25 17:00:10",32.234825,-111.027583
"201",201,"Beverly","2022-12-25 19:00:13",32.247119,-111.026859
"202",202,"Beverly","2022-12-25 21:00:16",32.246454,-111.036712
"203",203,"Beverly","2022-12-25 23:00:12",32.238308,-111.032179
"204",204,"Beverly","2022-12-26 01:00:25",32.24268,-111.038757
"205",205,"Beverly","2022-12-26 05:00:24",32.246293,-111.036872
"206",206,"Beverly","2022-12-26 07:00:12",32.246301,-111.036755
"207",207,"Beverly","2022-12-26 09:00:11",32.250244,-111.042681
"208",208,"Beverly","2022-12-26 11:00:15",32.242285,-111.048821
"209",209,"Beverly","2022-12-26 13:00:10",32.238266,-111.042455
"210",210,"Beverly","2022-12-26 15:00:09",32.23741,-111.033982
"211",211,"Beverly","2022-12-26 17:00:12",32.238133,-111.033601
"212",212,"Beverly","2022-12-26 19:00:20",32.237919,-111.033796
"213",213,"Beverly","2022-12-26 21:00:13",32.248765,-111.030433
"214",214,"Beverly","2022-12-26 23:00:12",32.244992,-111.030984
"215",215,"Beverly","2022-12-27 01:00:26",32.244917,-111.029196
"216",216,"Beverly","2022-12-27 03:00:17",32.243444,-111.031272
"217",217,"Beverly","2022-12-27 05:00:13",32.244815,-111.029049
"218",218,"Beverly","2022-12-27 07:00:12",32.246195,-111.030162
"219",219,"Beverly","2022-12-27 09:00:17",32.251306,-111.036572
"220",220,"Beverly","2022-12-27 11:00:10",32.253501,-111.038851
"221",221,"Beverly","2022-12-27 13:00:23",32.248734,-111.045765
"222",222,"Beverly","2022-12-27 15:00:10",32.245983,-111.052155
"223",223,"Beverly","2022-12-27 17:00:10",32.246405,-111.040018
"224",224,"Beverly","2022-12-27 19:00:09",32.247875,-111.032889
"225",225,"Beverly","2022-12-27 21:00:15",32.246912,-111.028631
"226",226,"Beverly","2022-12-28 10:00:09",32.23464,-111.028979
"227",227,"Beverly","2022-12-29 12:00:11",32.238622,-111.041947
"228",228,"Beverly","2022-12-30 01:00:13",32.241145,-111.02989
"229",229,"Beverly","2022-12-30 14:00:12",32.249056,-111.043372
"230",230,"Beverly","2022-12-30 15:00:41",32.251198,-111.046452
"231",231,"Beverly","2022-12-31 03:00:22",32.242623,-111.038368
"232",232,"Beverly","2022-12-31 16:00:10",32.235743,-111.023238
"233",233,"Beverly","2023-01-01 05:00:13",32.243447,-111.03847
"234",234,"Beverly","2023-01-01 18:00:10",32.251433,-111.034359
"235",235,"Beverly","2023-01-02 07:00:13",32.254989,-111.035975
"236",236,"Beverly","2023-01-02 09:00:15",32.247815,-111.05001
"237",237,"Beverly","2023-01-02 11:00:18",32.244503,-111.052044
"238",238,"Beverly","2023-01-02 13:00:14",32.23688,-111.0342
"239",239,"Beverly","2023-01-02 15:00:10",32.23919,-111.025277
"240",240,"Beverly","2023-01-02 17:00:16",32.246467,-111.029624
"241",241,"Beverly","2023-01-02 19:00:10",32.249643,-111.044
"242",242,"Beverly","2023-01-02 21:00:11",32.245019,-111.040069
"243",243,"Beverly","2023-01-02 23:00:17",32.241664,-111.027888
"244",244,"Beverly","2023-01-03 03:00:25",32.241552,-111.027826
"245",245,"Beverly","2023-01-03 07:00:13",32.24158,-111.027975
"246",246,"Beverly","2023-01-03 09:00:09",32.231802,-111.03702
"247",247,"Beverly","2023-01-03 11:00:09",32.242729,-111.04723
"248",248,"Beverly","2023-01-03 13:00:19",32.249002,-111.048588
"249",249,"Beverly","2023-01-03 15:00:11",32.251546,-111.040997
"250",250,"Beverly","2023-01-03 17:00:16",32.247726,-111.040261
"251",251,"Beverly","2023-01-03 19:00:13",32.251888,-111.037318
"252",252,"Beverly","2023-01-03 21:00:10",32.246728,-111.030115
"253",253,"Beverly","2023-01-03 23:00:11",32.242596,-111.029393
"254",254,"Beverly","2023-01-04 01:00:13",32.241825,-111.02767
"255",255,"Beverly","2023-01-04 03:00:12",32.241739,-111.027577
"256",256,"Beverly","2023-01-04 05:00:10",32.24248,-111.024262
"257",257,"Beverly","2023-01-04 07:00:16",32.238503,-111.02744
"258",258,"Beverly","2023-01-04 09:00:16",32.238133,-111.038797
"259",259,"Beverly","2023-01-04 11:00:09",32.239324,-111.042928
"260",260,"Beverly","2023-01-05 13:00:13",32.247899,-111.049302
"261",261,"Beverly","2023-01-06 02:00:25",32.242573,-111.024231
"262",262,"Beverly","2023-01-06 15:00:10",32.234123,-111.036445
"263",263,"Beverly","2023-01-06 19:00:41",32.249781,-111.050239
"264",264,"Beverly","2023-01-07 04:00:19",32.246231,-111.036903
"265",265,"Beverly","2023-01-07 17:00:11",32.24257,-111.029264
"266",266,"Beverly","2023-01-08 19:00:07",32.247003,-111.035797
"267",267,"Beverly","2023-01-09 08:00:10",32.245174,-111.046821
"268",268,"Beverly","2023-01-09 21:00:13",32.239372,-111.030006
"269",269,"Beverly","2023-01-09 23:00:17",32.24304,-111.035552
"270",270,"Beverly","2023-01-10 01:00:14",32.242674,-111.038325
"271",271,"Beverly","2023-01-10 05:00:12",32.248598,-111.032209
"272",272,"Beverly","2023-01-10 07:00:12",32.248832,-111.031477
"273",273,"Beverly","2023-01-10 09:00:13",32.248936,-111.029306
"274",274,"Beverly","2023-01-10 11:00:17",32.242121,-111.023926
"275",275,"Beverly","2023-01-10 13:00:11",32.242169,-111.023986
"276",276,"Beverly","2023-01-10 19:00:11",32.236746,-111.028306
"277",277,"Beverly","2023-01-10 21:00:10",32.237175,-111.03114
"278",278,"Beverly","2023-01-10 23:00:14",32.244438,-111.03166
"279",279,"Beverly","2023-01-11 01:00:13",32.242356,-111.033497
"280",280,"Beverly","2023-01-11 05:00:13",32.241493,-111.041374
"281",281,"Beverly","2023-01-11 07:00:11",32.241904,-111.045996
"282",282,"Beverly","2023-01-11 09:00:25",32.246308,-111.055266
"283",283,"Beverly","2023-01-11 11:00:10",32.250324,-111.048134
"284",284,"Beverly","2023-01-11 13:00:16",32.252806,-111.0452
"285",285,"Beverly","2023-01-11 15:00:12",32.253738,-111.040136
"286",286,"Beverly","2023-01-11 17:00:13",32.254176,-111.039227
"287",287,"Beverly","2023-01-11 19:00:14",32.254473,-111.038641
"288",288,"Beverly","2023-01-11 21:00:08",32.247802,-111.035701
"289",289,"Beverly","2023-01-11 23:00:10",32.243147,-111.028967
"290",290,"Beverly","2023-01-12 01:00:23",32.242516,-111.024622
"291",291,"Beverly","2023-01-12 14:00:10",32.245986,-111.052132
"292",292,"Beverly","2023-01-13 16:00:08",32.245323,-111.031239
"293",293,"Beverly","2023-01-13 23:00:51",32.238001,-111.037944
"294",294,"Beverly","2023-01-14 18:00:11",32.235781,-111.032502
"295",295,"Beverly","2023-01-15 07:00:13",32.24267,-111.024349
"296",296,"Beverly","2023-01-15 20:00:12",32.24715,-111.044415
"297",297,"Beverly","2023-01-16 09:00:21",32.240023,-111.032728
"298",298,"Beverly","2023-01-16 22:00:18",32.247883,-111.043339
"299",299,"Beverly","2023-01-17 13:00:10",32.246748,-111.052229
"300",300,"Beverly","2023-01-17 15:00:11",32.241516,-111.044232
"301",301,"Beverly","2023-01-17 17:00:10",32.24777,-111.029931
"302",302,"Beverly","2023-01-17 19:00:21",32.238728,-111.030711
"303",303,"Beverly","2023-01-17 21:00:13",32.238276,-111.038601
"304",304,"Beverly","2023-01-17 23:00:20",32.24238,-111.030799
"305",305,"Beverly","2023-01-18 01:00:14",32.244415,-111.030431
"306",306,"Beverly","2023-01-18 07:00:23",32.246462,-111.030393
"307",307,"Beverly","2023-01-18 09:00:07",32.244712,-111.044565
"308",308,"Beverly","2023-01-18 11:00:08",32.236444,-111.039979
"309",309,"Beverly","2023-01-18 13:00:22",32.23402,-111.032608
"310",310,"Beverly","2023-01-18 17:00:10",32.238457,-111.024537
"311",311,"Beverly","2023-01-18 19:00:14",32.246977,-111.035119
"312",312,"Beverly","2023-01-18 21:00:12",32.247835,-111.041032
"313",313,"Beverly","2023-01-18 23:00:25",32.241893,-111.033109
"314",314,"Beverly","2023-01-19 01:00:21",32.245236,-111.040643
"315",315,"Beverly","2023-01-19 05:00:13",32.245271,-111.048129
"316",316,"Beverly","2023-01-19 07:00:09",32.245922,-111.049191
"317",317,"Beverly","2023-01-19 09:00:12",32.251209,-111.047198
"318",318,"Beverly","2023-01-19 11:00:08",32.243886,-111.040605
"319",319,"Beverly","2023-01-19 13:00:26",32.247693,-111.040181
"320",320,"Beverly","2023-01-19 15:00:11",32.250797,-111.040878
"321",321,"Beverly","2023-01-20 17:00:20",32.245038,-111.049331
"322",322,"Beverly","2023-01-21 03:00:54",32.244428,-111.030487
"323",323,"Beverly","2023-01-21 06:00:19",32.244502,-111.030508
"324",324,"Beverly","2023-01-21 19:00:17",32.253854,-111.034903
"325",325,"Beverly","2023-01-22 08:00:11",32.244795,-111.029258
"326",326,"Beverly","2023-01-22 21:00:09",32.248397,-111.044944
"327",327,"Beverly","2023-01-23 10:00:23",32.247458,-111.040389
"328",328,"Beverly","2023-01-24 12:00:11",32.250411,-111.031516
"329",329,"Beverly","2023-01-25 05:00:26",32.242425,-111.024422
"330",330,"Beverly","2023-01-25 07:00:25",32.239665,-111.030673
"331",331,"Beverly","2023-01-25 09:00:12",32.238155,-111.04625
"332",332,"Beverly","2023-01-25 11:00:18",32.24591,-111.052264
"333",333,"Beverly","2023-01-25 13:00:11",32.253728,-111.043674
"334",334,"Beverly","2023-01-25 15:00:08",32.255076,-111.035701
"335",335,"Beverly","2023-01-25 17:00:07",32.249197,-111.031444
"336",336,"Beverly","2023-01-25 19:00:11",32.245859,-111.030408
"337",337,"Beverly","2023-01-26 01:00:26",32.244407,-111.030551
"338",338,"Beverly","2023-01-26 03:00:26",32.244632,-111.031326
"339",339,"Beverly","2023-01-26 07:00:26",32.245411,-111.030355
"340",340,"Beverly","2023-01-26 09:00:15",32.240777,-111.044739
"341",341,"Beverly","2023-01-26 13:00:12",32.232644,-111.039303
"342",342,"Beverly","2023-01-26 15:00:11",32.238705,-111.036066
"343",343,"Beverly","2023-01-26 17:00:09",32.247982,-111.04531
"344",344,"Beverly","2023-01-26 19:00:10",32.251406,-111.040249
"345",345,"Beverly","2023-01-26 23:00:12",32.242404,-111.027969
"346",346,"Beverly","2023-01-27 03:00:26",32.242395,-111.028028
"347",347,"Beverly","2023-01-27 05:00:25",32.242701,-111.028177
"348",348,"Beverly","2023-01-27 18:00:11",32.246989,-111.029446
"349",349,"Beverly","2023-01-28 07:00:48",32.241134,-111.034328
"350",350,"Beverly","2023-01-28 20:00:09",32.230608,-111.034109
"351",351,"Beverly","2023-01-29 09:00:08",32.241532,-111.037813
"352",352,"Beverly","2023-01-29 22:00:12",32.253172,-111.036344
"353",353,"Beverly","2023-01-30 11:00:12",32.245871,-111.041272
"354",354,"Beverly","2023-01-31 00:00:21",32.242331,-111.027983
"355",355,"Beverly","2023-01-31 13:00:09",32.24159,-111.041408
"356",356,"Beverly","2023-02-01 15:00:16",32.244135,-111.041392
"357",357,"Beverly","2023-02-01 17:00:10",32.251356,-111.04686
"358",358,"Beverly","2023-02-01 19:00:09",32.2469,-111.038786
"359",359,"Beverly","2023-02-01 23:00:26",32.244312,-111.03057
"360",360,"Beverly","2023-02-02 07:00:11",32.247125,-111.035817
"361",361,"Beverly","2023-02-02 09:00:10",32.246851,-111.042272
"362",362,"Beverly","2023-02-02 11:00:11",32.239733,-111.04115
"363",363,"Beverly","2023-02-02 13:00:12",32.241709,-111.043262
"364",364,"Beverly","2023-02-02 15:00:10",32.252124,-111.037487
"365",365,"Beverly","2023-02-02 17:00:09",32.256417,-111.035458
"366",366,"Beverly","2023-02-02 21:00:11",32.243232,-111.03293
"367",367,"Beverly","2023-02-02 23:00:14",32.241896,-111.030714
"368",368,"Beverly","2023-02-03 01:00:09",32.242404,-111.030321
"369",369,"Beverly","2023-02-03 03:00:10",32.242256,-111.030257
"370",370,"Beverly","2023-02-03 05:00:21",32.242376,-111.030435
"371",371,"Beverly","2023-02-03 09:00:14",32.24605,-111.052134
"372",372,"Beverly","2023-02-03 11:00:10",32.255238,-111.038956
"373",373,"Beverly","2023-02-03 13:00:13",32.249986,-111.038713
"374",374,"Beverly","2023-02-03 15:00:13",32.244539,-111.038936
"375",375,"Beverly","2023-02-03 17:00:06",32.236053,-111.034591
"376",376,"Beverly","2023-02-03 19:00:18",32.238097,-111.024961
"377",377,"Beverly","2023-02-04 11:00:44",32.245072,-111.040573
"378",378,"Beverly","2023-02-04 21:00:15",32.240648,-111.032123
"379",379,"Beverly","2023-02-05 10:00:12",32.251205,-111.040329
"380",380,"Beverly","2023-02-06 12:00:08",32.256159,-111.036166
"381",381,"Beverly","2023-02-07 14:00:11",32.242845,-111.043729
"382",382,"Beverly","2023-02-08 03:00:25",32.244462,-111.03048
"383",383,"Beverly","2023-02-08 16:00:11",32.2346,-111.035102
"384",384,"Beverly","2023-02-09 05:00:10",32.238526,-111.027317
"385",385,"Beverly","2023-02-09 07:00:12",32.244258,-111.03884
"386",386,"Beverly","2023-02-09 09:00:09",32.250933,-111.039528
"387",387,"Beverly","2023-02-09 11:00:14",32.245318,-111.041741
"388",388,"Beverly","2023-02-09 13:00:09",32.245398,-111.041728
"389",389,"Beverly","2023-02-09 15:00:13",32.245357,-111.041658
"390",390,"Beverly","2023-02-09 17:00:08",32.24539,-111.041294
"391",391,"Beverly","2023-02-09 19:00:09",32.245299,-111.040056
"392",392,"Beverly","2023-02-09 21:00:10",32.243992,-111.029098
"393",393,"Beverly","2023-02-10 01:00:08",32.240272,-111.026535
"394",394,"Beverly","2023-02-10 03:00:09",32.240235,-111.026516
"395",395,"Beverly","2023-02-10 07:00:12",32.240272,-111.026546
"396",396,"Beverly","2023-02-10 09:00:11",32.242781,-111.038164
"397",397,"Beverly","2023-02-10 11:00:07",32.242111,-111.041653
"398",398,"Beverly","2023-02-10 13:00:08",32.246952,-111.051989
"399",399,"Beverly","2023-02-10 15:00:09",32.245822,-111.044669
